"","ID","Title","Rel_Date","Budget"
"1423",333484,"The Magnificent Seven",2016-09-14,90000000
"1425",438590,"A-X-L",2018-08-23,10000000
"1431",43933,"Monsters",2010-06-18,500000
"1432",337170,"American Made",2017-08-17,50000000
"1435",268689,"Wicked Flying Monkeys",2015-03-26,10000000
"1436",195589,"Neighbors",2014-05-08,18000000
"1440",68724,"Elysium",2013-08-07,115000000
"1443",38318,"Burnt by the Sun 2: Exodus",2010-04-22,55000000
"1445",353486,"Jumanji: Welcome to the Jungle",2017-12-09,90000000
"1450",75438,"Beremennyy",2011-07-21,2000000
"1451",20662,"Robin Hood",2010-05-12,200000000
"1453",505954,"T-34",2018-12-27,10000000
"1467",123553,"The Mortal Instruments: City of Bones",2013-08-21,60000000
"1468",399174,"Isle of Dogs",2018-03-23,62770198
"1472",87827,"Life of Pi",2012-11-20,120000000
"1476",49021,"Killer Elite",2011-09-23,66000000
"1478",474395,"Teen Titans Go! To the Movies",2018-07-27,10000000
"1483",146233,"Prisoners",2013-09-18,46000000
"1487",203801,"The Man from U.N.C.L.E.",2015-08-13,75000000
"1491",305470,"Power Rangers",2017-03-23,100000000
"1493",300671,"13 Hours: The Secret Soldiers of Benghazi",2016-01-13,50000000
"1501",45269,"The King's Speech",2010-09-06,15000000
"1502",346672,"Underworld: Blood Wars",2016-11-24,35000000
"1503",239563,"St. Vincent",2014-10-09,13000000
"1504",22970,"The Cabin in the Woods",2012-04-12,30000000
"1507",49519,"The Croods",2013-03-20,135000000
"1508",340837,"A Cure for Wellness",2017-02-15,40000000
"1509",97630,"Zero Dark Thirty",2012-12-19,40000000
"1510",10192,"Shrek Forever After",2010-05-16,165000000
"1511",411088,"The Invisible Guest",2016-09-22,4000000
"1513",65754,"The Girl with the Dragon Tattoo",2011-12-14,90000000
"1515",76122,"Marvel One-Shot: The Consultant",2011-09-12,500000
"1516",196867,"Annie",2014-12-19,65000000
"1517",34586,"Kandahar",2010-02-04,7000000
"1520",137094,"Jack Ryan: Shadow Recruit",2014-01-15,60000000
"1523",446791,"All the Money in the World",2017-12-21,50000000
"1525",205584,"Gods of Egypt",2016-02-25,140000000
"1535",455980,"Tag",2018-05-30,28000000
"1536",68734,"Argo",2012-10-11,44500000
"1538",44214,"Black Swan",2010-12-03,13000000
"1545",136400,"2 Guns",2013-08-02,61000000
"1547",187017,"22 Jump Street",2014-06-05,50000000
"1553",412988,"The Happytime Murders",2018-08-22,40000000
"1557",87421,"Riddick",2013-09-02,38000000
"1563",359940,"Three Billboards Outside Ebbing, Missouri",2017-11-10,15000000
"1566",392044,"Murder on the Orient Express",2017-11-03,55000000
"1570",39254,"Real Steel",2011-09-28,110000000
"1571",290764,"Tracers",2015-01-15,11000000
"1574",421658,"Final Score",2018-09-07,20000000
"1576",20504,"The Book of Eli",2010-01-11,80000000
"1578",23168,"The Town",2010-09-15,37000000
"1582",346364,"It",2017-09-06,35000000
"1586",40807,"50/50",2011-09-30,8000000
"1597",134374,"Pain & Gain",2013-04-18,25000000
"1605",49013,"Cars 2",2011-06-11,200000000
"1606",206487,"Predestination",2014-08-28,5500000
"1616",37686,"Super 8",2011-06-08,50000000
"1623",138697,"Don Jon",2013-07-26,3000000
