"","X1","titles","artists","song_id","release_year","release_date","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","onBillboard","artist.id","artist.popularity"
"75",74,"Girls Need Love (with Drake) - Remix","Summer Walker","14SaZBTjxlorHJQxXh01Hu",2018,2018-10-19,0.443,0.656,222374,0.432,0,6,0.132,-9.481,0,0.217,97.022,4,0.0897,1,"57LYzLEk2LcFghVwuWbcuS",74
"76",75,"Make It Sweet","Old Dominion","7C6JnGZRj0HMIF06rlz9Mb",2019,2019-01-18,0.0317,0.539,186133,0.859,0,7,0.102,-4.465,1,0.0399,89.937,4,0.456,1,"6y8XlgIV8BLlIg1tT1R10i",75
"77",76,"Calma - Remix","Pedro Capó","5iwz1NiezX7WWjnCgY5TH4",2018,2018-10-05,0.323,0.826,238200,0.773,0,11,0.143,-4.218,0,0.0524,126.899,4,0.761,1,"4QVBYiagIaa6ZGSPMbybpy",82
"78",77,"Mixed Personalities (feat. Kanye West)","YNW Melly","6vWEAOUSxohKxhp0K1BsxL",2019,2019-01-18,0.457,0.661,230400,0.44,0,2,0.128,-9.104,1,0.0803,149.937,4,0.352,1,"1cNDP5yjU5vjeR8qMf4grg",86
"79",78,"Talk You Out Of It","Florida Georgia Line","4qQwGRtGT7l6ckQtdPEFd4",2019,2019-02-15,0.582,0.651,202920,0.708,0,4,0.0796,-4.791,1,0.0376,119.964,4,0.558,1,"3b8QkneNDz4JHKKKlLgYZg",84
"80",79,"Put a Date On It (feat. Lil Baby)","Yo Gotti","6PRh0ilIMEP1xlUHqalnkD",2019,2019-01-25,0.0123,0.835,195257,0.659,0,4,0.372,-5.696,1,0.31,129.93,4,0.579,1,"6Ha4aES39QiVjR0L2lwuwq",77
"81",80,"i'm so tired...","Lauv","7COXchtUOMd6uIT6HvmRaI",2019,2019-01-24,0.176,0.599,162583,0.733,0,11,0.242,-7.058,1,0.203,102.211,4,0.534,1,"5JZ7CnR6gTvEMKX4g70Amv",87
"82",81,"Shotta Flow","NLE Choppa","4dAMdQ6g4kGmnc1MDHsg77",2019,2019-01-17,0.0786,0.888,160013,0.43,1.58e-06,9,0.132,-6.728,1,0.588,120.088,4,0.45,1,"0ErzCpIMyLcjPiwT4elrtZ",75
"83",82,"That's A Rack","Lil Uzi Vert","4pCEIQ6wBVuaJdER5bALtO",2019,2019-04-09,0.0599,0.852,236571,0.432,0,1,0.146,-8.04,0,0.501,140.042,4,0.258,1,"4O15NlyKLIASxsJ0PrXPfz",90
"84",83,"Knockin' Boots","Luke Bryan","6ERR6e7h6wCqGoz1TjiUJb",2019,2019-03-29,0.129,0.739,199382,0.682,0,2,0.328,-3.728,1,0.205,131.983,4,0.634,1,"0BvkDsjIUla7X0k6CSWh1I",80
"85",84,"24/7 (feat. Ella Mai)","Meek Mill","6irE4Fbjbry3czv7mTxVSB",2018,2018-11-30,0.0135,0.657,221522,0.711,0,0,0.221,-5.355,1,0.374,86.957,4,0.368,1,"20sxb77xiYeusSH8cVdatc",86
"86",85,"you should see me in a crown","Billie Eilish","3XF5xLJHOQQRbWya6hBp7d",2019,2019-03-29,0.462,0.678,180953,0.533,0.219,4,0.139,-10.485,1,0.186,150.455,4,0.323,1,"6qqNVTkY8uBg9cP3Jd7DAH",100
"87",86,"On My Way to You","Cody Johnson","3OjNkFFZavF89xvRqWCXmU",2019,2019-01-18,0.327,0.443,213307,0.538,4.61e-05,1,0.0866,-5.477,1,0.0309,157.97,4,0.245,1,"6zLBxLdl60ekBLpawtT63I",71
"88",87,"Baila Baila Baila - Remix","Ozuna","7mWFF4gPADjTQjC97CgFVt",2019,2019-04-25,0.0598,0.785,235284,0.572,0,2,0.218,-7.504,1,0.123,100.016,4,0.49,1,"1i8SpTcr7yvPOmcqrbnVXY",95
"89",88,"Love Someone","Brett Eldredge","43CFDpciGFDm226POTLEXU",2017,2017-08-04,0.218,0.423,211720,0.813,1.62e-06,9,0.0732,-5.011,1,0.0507,173.995,4,0.421,1,"0qSX3s5pJnAlSsgsCne8Cz",70
"90",89,"Power is Power (feat. The Weeknd & Travis Scott)","SZA","4cbdPT6uaBOgOQe3fLMofl",2019,2019-04-26,0.00413,0.507,211267,0.644,0,4,0.217,-7.485,1,0.0641,179.913,4,0.172,1,"7tYKF4w9nC0nq9CsPZTHyP",84
"91",90,"MIDDLE CHILD","PnB Rock","4AEzAEnbm9uRgbmTdeI63K",2019,2019-05-03,0.137,0.75,151574,0.567,0,0,0.109,-6.4,1,0.48,151.895,4,0.398,1,"21WS9wngs9AqFckK7yYJPM",83
"92",91,"Shot Clock","Ella Mai","2GlATHCDbLW7xq5BE0Bz5g",2018,2018-10-12,0.654,0.512,201609,0.512,0,4,0.148,-6.008,0,0.285,95.11,1,0.434,1,"7HkdQ0gt53LP4zmHsL0nap",80
"93",92,"ocean eyes","Billie Eilish","7hDVYcQq6MxkdJGweuCtl9",2017,2017-12-22,0.816,0.511,200379,0.363,0.0317,4,0.084,-7.65,0,0.041,144.892,4,0.169,1,"6qqNVTkY8uBg9cP3Jd7DAH",100
"94",93,"wish you were gay","Billie Eilish","3Fj47GNK2kUF0uaEDgXLaD",2019,2019-03-29,0.39,0.853,221543,0.351,9.38e-06,7,0.752,-10.198,1,0.241,118.028,4,0.282,1,"6qqNVTkY8uBg9cP3Jd7DAH",100
"95",94,"I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)","Lil Peep","2v5JTeM6hSmi5wWy7jiwrI",2019,2019-01-31,0.15,0.741,233613,0.845,0,5,0.174,-3.568,0,0.0381,129.939,4,0.926,1,"2kCcBybjl3SAtIcwdWpUe3",85
"96",95,"All To Myself","Dan + Shay","0uSGTaHms9ceAxb7L6VLrU",2018,2018-05-03,0.23,0.651,169612,0.782,0,1,0.139,-4.622,1,0.0303,94.94,4,0.619,1,"7z5WFjZAIYejWy0NI5lv4T",79
"97",96,"Secreto","Anuel Aa","5W83ErFkO3aKAIS1WMi6u0",2019,2019-01-15,0.602,0.807,258800,0.803,0.00853,11,0.136,-4.156,1,0.126,91.987,4,0.706,1,"2R21vXR83lH98kGeO99Y66",94
"98",97,"Paradise","Bazzi","7njKgVl3AnLflRad38o7AG",2019,2019-04-04,0.0828,0.844,169038,0.644,0,11,0.113,-6.273,0,0.0479,122.061,4,0.591,1,"4GvEc3ANtPPjt1ZJllr5Zl",85
"99",98,"Die Young","Roddy Ricch","3wLtYwtqvKK2ewelSVPeDK",2018,2018-11-02,0.218,0.688,157657,0.656,0,4,0.115,-5.541,0,0.276,160.414,4,0.365,1,"757aE44tKEUQEqRuT6GnEB",83
"100",99,"Faucet Failure","Ski Mask The Slump God","1ThmUihH9dF8EV08ku5AXN",2018,2018-11-30,0.111,0.935,145627,0.552,0,10,0.0952,-9.373,0,0.335,99.993,4,0.615,1,"2rhFzFmezpnW82MNqEKVry",84
